"id","Number.of.Policies","Response","Coverage","Education","EmploymentStatus","Gender"
1926,5,1,2,1,2,2
1927,1,1,1,4,5,2
1928,7,1,3,4,2,1
1929,5,2,2,3,2,2
1930,1,1,2,1,5,1
1931,2,1,1,1,5,1
1932,2,1,1,1,2,1
1933,3,1,1,2,5,1
1934,6,2,1,5,2,1
1935,1,1,1,4,2,1
1936,2,1,1,1,5,1
1937,3,1,1,1,2,1
1938,2,1,2,2,5,1
1939,1,1,1,4,5,1
1940,2,1,1,2,2,2
1941,8,1,2,4,2,2
1942,2,2,1,5,1,2
1943,1,1,3,4,2,1
1944,1,1,1,5,2,1
1945,3,1,1,2,2,2
1946,2,1,1,2,2,1
1947,4,1,2,1,2,1
1948,1,1,1,1,5,1
1949,1,1,1,2,2,2
1950,3,1,1,4,2,2
1951,8,1,2,2,2,2
1952,1,1,1,1,3,2
1953,2,1,1,3,5,2
1954,1,1,1,1,2,2
1955,1,1,1,4,2,2
1956,1,1,2,5,5,2
1957,7,1,2,3,2,2
1958,1,1,1,4,5,1
1959,1,1,2,5,2,1
1960,1,1,1,3,2,1
1961,1,2,3,2,2,2
1962,6,1,2,2,2,2
1963,1,1,2,1,5,2
1964,4,1,1,4,5,2
1965,9,1,2,2,5,1
1966,5,1,1,1,2,1
1967,1,1,2,1,5,2
1968,2,1,2,5,2,1
1969,7,1,1,2,3,1
1970,1,1,1,1,2,1
1971,2,1,1,4,5,2
1972,5,1,1,3,2,2
1973,4,1,1,2,5,1
1974,1,1,2,5,2,2
1975,2,1,2,4,5,2
1976,2,2,1,2,2,2
1977,2,1,1,2,2,1
1978,2,1,2,2,2,1
1979,1,1,3,5,2,2
1980,1,1,2,4,2,1
1981,1,2,2,3,2,2
1982,3,2,1,4,2,1
1983,5,1,1,5,2,2
1984,2,1,2,4,5,2
1985,7,1,1,2,3,2
1986,2,2,2,1,2,1
1987,2,1,1,1,5,1
1988,2,1,1,4,5,2
1989,1,1,2,2,1,1
1990,9,1,1,2,3,1
1991,1,2,3,2,2,2
1992,5,1,1,5,2,1
1993,3,1,1,2,2,1
1994,2,1,2,1,3,2
1995,8,1,2,2,2,2
1996,2,1,1,3,5,1
1997,1,1,1,4,5,2
1998,6,1,1,1,2,1
1999,2,1,2,5,2,2
2000,8,1,2,2,2,1
2001,1,1,1,1,5,1
2002,2,1,3,2,2,2
2003,2,1,3,5,2,2
2004,7,1,1,2,5,1
2005,8,1,1,4,2,2
2006,8,1,1,1,2,2
2007,1,1,3,4,2,2
2008,9,1,2,4,5,1
2009,6,1,1,4,3,1
2010,2,1,1,2,2,1
2011,4,1,1,2,2,1
2012,2,1,2,2,2,1
2013,1,1,3,4,5,2
2014,2,1,1,4,2,1
2015,9,2,3,4,2,1
2016,3,1,1,4,2,2
2017,1,1,2,4,3,1
2018,1,1,1,2,2,1
2019,1,1,1,2,2,1
2020,1,1,1,1,2,2
2021,1,1,1,5,2,1
2022,3,1,3,2,2,1
2023,1,2,2,2,3,2
2024,1,1,1,4,2,2
2025,1,2,2,2,2,2
2026,1,2,1,2,2,1
2027,8,1,1,4,2,1
2028,1,1,3,1,2,1
2029,2,2,2,5,5,2
2030,3,1,1,1,2,2
2031,3,1,1,3,2,2
2032,4,1,1,1,2,2
2033,3,1,2,4,2,2
2034,2,1,1,4,2,2
2035,2,1,3,4,2,1
2036,3,1,2,1,2,2
2037,1,1,1,1,2,2
2038,1,2,2,2,2,2
2039,2,1,1,2,2,1
2040,2,1,1,4,1,2
2041,1,1,1,1,2,1
2042,6,1,1,1,2,1
2043,2,2,3,4,2,1
2044,3,1,2,4,2,2
2045,1,1,3,4,2,2
2046,1,1,2,2,2,1
2047,5,1,2,1,2,1
2048,3,1,1,1,2,2
2049,7,1,2,3,2,1
2050,2,1,2,5,5,2
2051,4,1,1,4,2,1
2052,1,1,3,4,1,2
2053,2,2,1,2,3,1
2054,2,1,2,1,2,1
2055,5,2,1,1,5,1
2056,2,1,1,2,2,1
2057,2,1,1,4,2,2
2058,1,1,1,2,2,1
2059,7,1,1,1,5,1
2060,2,1,1,5,2,2
2061,5,1,1,2,2,1
2062,4,1,1,2,2,1
2063,1,1,2,5,5,1
2064,1,1,1,1,5,2
2065,1,1,3,4,5,2
2066,1,1,1,5,5,2
2067,1,2,2,1,2,1
2068,1,1,2,4,5,1
2069,3,1,1,4,2,2
2070,1,1,1,2,2,2
2071,2,2,2,5,5,2
2072,1,2,1,1,4,2
2073,1,1,1,2,2,1
2074,3,2,1,5,1,1
2075,2,2,2,4,4,1
2076,6,1,1,2,2,1
2077,1,1,3,1,5,1
2078,9,2,1,1,2,2
2079,1,1,3,4,5,2
2080,2,1,1,1,5,2
2081,2,1,1,2,2,1
2082,5,2,2,3,2,2
2083,8,1,2,2,5,1
2084,1,1,1,4,2,2
2085,1,2,1,1,1,1
2086,2,2,1,1,2,2
2087,5,1,1,1,1,1
2088,2,1,2,2,5,2
2089,5,1,1,1,3,1
2090,1,1,1,1,5,2
2091,1,2,1,4,4,2
2092,1,1,1,3,5,2
2093,2,1,1,4,2,1
2094,8,1,1,4,2,1
2095,3,1,1,1,2,2
2096,3,2,1,1,2,1
2097,1,1,2,4,2,1
2098,8,1,2,4,3,2
2099,1,1,2,2,5,2
2100,9,1,2,1,2,2
2101,2,1,1,1,5,1
2102,9,1,2,2,2,1
2103,9,1,3,4,5,2
2104,8,1,2,4,2,1
2105,2,1,1,2,5,2
2106,1,1,1,1,5,2
2107,2,1,1,1,2,1
2108,1,1,1,4,2,1
2109,2,1,1,1,5,2
2110,2,1,1,1,3,1
2111,8,1,2,4,5,1
2112,5,2,2,2,4,2
2113,3,1,1,1,5,1
2114,2,1,1,1,3,1
2115,2,2,1,1,3,2
2116,2,1,1,4,2,1
2117,2,1,1,1,2,1
2118,3,1,1,1,5,1
2119,3,1,1,4,2,2
2120,1,1,1,2,2,1
2121,6,2,2,4,1,1
2122,4,1,1,2,5,1
2123,1,1,2,1,2,1
2124,3,1,1,2,3,1
2125,1,2,2,2,2,2
2126,3,1,2,5,2,2
2127,2,1,1,2,1,2
2128,1,1,1,1,5,2
2129,3,1,2,4,5,1
2130,7,1,1,1,2,2
2131,2,1,1,4,3,1
2132,2,2,3,4,2,2
2133,1,1,1,4,2,2
2134,1,1,2,4,2,2
2135,7,1,2,5,2,1
2136,3,1,2,2,5,1
2137,2,1,1,1,5,1
2138,8,1,1,1,2,1
2139,2,2,1,1,2,2
2140,8,1,3,4,5,1
2141,1,2,2,2,2,1
2142,7,1,1,3,2,2
2143,2,1,2,5,5,2
2144,1,2,2,5,2,2
2145,2,1,1,2,2,1
2146,2,1,1,4,2,1
2147,3,1,3,1,2,1
2148,1,2,2,2,2,1
2149,1,1,2,4,2,1
2150,9,1,1,1,5,1
2151,6,1,1,3,2,1
2152,8,1,1,2,2,2
2153,1,1,2,4,2,1
2154,6,1,2,5,2,1
2155,3,2,2,2,2,1
2156,2,1,1,4,2,2
2157,3,1,2,1,5,2
2158,1,1,3,2,5,2
2159,1,1,1,1,2,1
2160,5,1,1,5,3,2
2161,9,1,1,4,2,2
2162,7,1,2,1,2,2
2163,1,1,1,1,5,1
2164,6,1,2,2,5,1
2165,6,1,1,3,2,1
2166,7,2,1,1,2,2
2167,2,2,2,2,2,1
2168,4,1,2,2,5,2
2169,3,2,1,2,4,1
2170,2,1,2,3,3,2
2171,4,2,1,4,2,2
2172,1,1,1,4,2,1
2173,1,1,1,4,2,2
2174,2,2,1,2,5,2
2175,1,1,1,2,2,2
2176,3,1,2,4,2,1
2177,2,1,3,4,5,2
2178,1,1,1,5,2,1
2179,5,2,1,2,4,2
2180,9,1,2,1,2,1
2181,1,2,2,1,2,1
2182,9,1,1,4,2,1
2183,5,1,1,2,2,1
2184,2,1,2,1,5,1
2185,2,1,2,2,2,2
2186,2,2,2,2,4,1
2187,1,1,1,4,5,1
2188,4,1,2,1,5,1
2189,5,1,1,1,2,1
2190,1,1,3,4,2,1
2191,2,1,3,2,2,1
2192,2,1,2,2,2,1
2193,1,2,2,2,5,2
2194,8,1,1,1,5,1
2195,9,1,1,1,5,1
2196,2,1,1,3,2,1
2197,3,1,1,4,5,1
2198,1,2,2,3,2,2
2199,2,1,1,2,2,1
2200,1,1,2,1,2,2
2201,4,1,2,5,2,2
2202,2,1,1,2,2,1
2203,1,1,2,1,5,1
2204,8,1,2,5,5,1
2205,2,2,2,4,4,1
2206,1,1,1,2,2,1
2207,9,1,1,2,2,1
2208,2,1,3,1,2,2
2209,1,2,3,4,2,2
2210,2,1,2,1,1,2
2211,1,1,1,2,5,1
2212,2,1,1,2,2,2
2213,6,1,1,1,2,2
2214,5,1,1,1,2,1
2215,1,1,3,3,2,1
2216,1,1,3,5,2,1
2217,1,1,2,2,1,2
2218,6,1,3,2,2,2
2219,3,2,1,2,4,2
2220,2,1,2,2,3,1
2221,3,1,1,1,5,2
2222,2,1,1,2,2,2
2223,9,1,2,5,4,2
2224,5,1,1,1,2,1
2225,4,1,1,1,2,2
2226,1,2,3,4,2,2
2227,3,1,2,4,5,2
2228,1,1,1,1,5,2
2229,2,1,2,2,2,2
2230,1,1,1,1,2,2
2231,8,1,1,1,2,2
2232,7,1,1,1,2,2
2233,2,1,1,4,2,1
2234,3,1,2,4,2,1
2235,1,2,2,2,2,2
2236,3,1,2,4,5,2
2237,3,1,1,4,5,1
2238,1,1,3,1,5,1
2239,6,1,1,1,2,2
2240,4,1,2,4,2,2
2241,1,1,2,2,5,1
2242,1,2,1,4,2,1
2243,2,1,1,2,5,1
2244,9,1,1,2,2,2
2245,3,1,2,2,2,1
2246,2,1,2,2,5,1
2247,1,1,1,4,2,1
2248,9,1,1,4,2,1
2249,2,1,2,2,5,1
2250,3,1,3,2,5,2
2251,4,1,1,4,3,1
2252,1,1,1,2,2,2
2253,2,1,1,1,2,1
2254,8,1,2,2,2,1
2255,8,1,2,2,2,2
2256,9,1,1,3,2,2
2257,4,1,2,1,2,2
2258,6,1,1,3,2,2
2259,3,1,3,4,2,2
2260,7,1,1,1,1,2
2261,1,2,2,2,3,2
2262,1,2,2,1,2,1
2263,1,1,1,2,2,2
2264,1,1,3,2,1,1
2265,2,1,1,5,2,2
2266,9,1,1,2,1,1
2267,1,1,3,2,2,2
2268,1,1,1,5,2,2
2269,1,2,1,4,2,1
2270,6,1,1,4,2,1
2271,5,1,2,1,5,2
2272,1,1,1,4,2,2
2273,1,2,1,5,2,1
2274,1,1,1,2,2,2
2275,4,1,1,4,2,1
2276,6,2,1,5,2,1
2277,3,1,1,2,2,1
2278,1,1,1,1,5,1
2279,2,1,1,2,5,2
2280,3,1,1,4,2,2
2281,2,1,1,4,2,1
2282,2,1,3,2,2,2
2283,2,1,1,4,2,1
2284,2,1,2,4,1,2
2285,5,2,2,1,5,1
2286,3,1,1,5,2,1
2287,7,1,2,1,2,1
2288,2,1,1,2,2,1
2289,1,1,1,1,2,1
2290,4,1,1,5,2,1
2291,4,1,2,2,2,2
2292,1,1,1,2,2,1
2293,3,1,1,5,2,2
2294,1,1,1,5,2,1
2295,2,1,2,4,2,2
2296,4,1,2,5,2,2
2297,1,1,2,1,5,2
2298,1,1,1,1,5,1
2299,2,1,1,4,2,2
2300,2,1,1,1,2,1
2301,1,2,3,4,2,1
2302,1,1,1,2,2,1
2303,1,1,3,2,2,1
2304,2,1,1,2,2,1
2305,3,1,1,2,2,1
2306,4,1,2,4,5,2
2307,1,1,1,2,2,1
2308,4,1,2,4,2,2
2309,1,1,2,5,2,1
2310,1,1,2,2,5,1
2311,1,1,1,4,5,2
2312,2,1,2,5,5,2
2313,1,2,2,5,2,2
2314,2,1,1,4,5,1
2315,2,1,1,2,2,1
2316,3,1,1,2,5,2
2317,1,2,3,2,2,2
2318,9,1,1,3,5,2
2319,3,1,2,2,5,2
2320,9,1,1,5,3,2
2321,1,1,1,5,4,2
2322,3,1,2,4,2,1
2323,7,1,1,1,5,2
2324,2,1,1,4,5,1
2325,1,1,1,1,2,2
2326,4,1,1,5,2,1
2327,1,1,1,2,2,1
2328,6,1,2,4,2,2
2329,1,2,1,1,5,2
2330,2,1,1,2,2,2
2331,3,1,3,4,5,2
2332,3,1,2,2,5,2
2333,2,1,1,1,5,2
2334,1,1,1,2,5,2
2335,8,1,1,4,2,2
2336,1,1,2,1,2,1
2337,2,1,2,3,3,2
2338,1,1,1,4,2,2
2339,5,1,3,2,2,2
2340,3,1,1,2,2,2
2341,4,1,1,4,5,2
2342,2,1,2,2,5,1
2343,7,1,2,1,2,2
2344,2,1,2,4,5,2
2345,5,1,2,1,5,2
2346,1,1,2,1,2,2
2347,2,1,1,1,3,2
2348,5,1,1,4,5,1
2349,1,1,1,2,2,1
2350,1,1,1,2,5,2
2351,8,1,1,2,2,1
2352,3,1,1,1,2,1
2353,5,1,1,4,5,2
2354,6,1,1,2,1,1
2355,1,1,1,2,2,1
2356,1,1,1,4,2,1
2357,6,1,1,1,2,2
2358,1,2,2,1,4,1
2359,2,2,1,4,2,2
2360,1,2,3,1,2,1
2361,1,1,2,1,2,1
2362,2,1,1,4,2,2
2363,1,1,1,1,5,1
2364,2,2,1,2,2,2
2365,2,1,3,2,2,1
2366,9,1,1,1,2,2
2367,1,1,2,2,2,2
2368,2,1,1,4,5,1
2369,1,2,2,1,4,1
2370,2,1,1,2,2,1
2371,2,1,2,1,2,1
2372,1,1,1,4,1,1
2373,1,1,2,2,3,2
2374,8,2,3,5,1,1
2375,1,1,2,4,2,2
2376,8,1,1,1,2,1
2377,1,1,1,4,1,2
2378,1,1,2,2,2,1
2379,4,1,1,1,5,1
2380,5,1,2,2,2,2
2381,2,1,2,1,5,2
2382,1,2,2,4,5,1
2383,1,1,1,4,2,1
2384,2,1,1,5,2,1
2385,1,1,2,4,2,1
2386,9,2,1,4,4,2
2387,2,1,1,2,2,1
2388,1,1,1,2,2,1
2389,5,1,1,1,2,1
2390,1,1,1,4,2,1
2391,9,1,1,2,2,2
2392,2,1,3,1,2,2
2393,1,2,1,4,2,2
2394,1,1,1,1,2,1
2395,2,1,1,4,2,2
2396,1,1,1,4,2,1
2397,8,1,1,2,5,1
2398,1,1,1,4,2,2
2399,1,1,1,1,2,2
2400,5,1,1,1,2,2
2401,1,1,1,4,5,1
2402,1,1,1,4,1,1
2403,2,1,2,1,2,2
2404,2,1,1,1,2,1
2405,3,1,1,5,2,2
2406,3,1,3,5,2,1
2407,1,1,2,5,2,2
2408,3,1,1,2,2,2
2409,2,1,1,2,2,2
2410,1,1,2,5,1,2
2411,3,1,1,4,2,1
2412,1,1,1,4,2,2
2413,8,1,1,1,1,2
2414,2,1,1,4,2,2
2415,2,1,2,4,5,2
2416,5,2,1,1,5,1
2417,7,1,3,4,5,2
2418,2,1,1,4,2,2
2419,9,1,1,2,2,2
2420,2,1,1,2,5,2
2421,2,1,1,2,5,2
2422,2,1,1,4,2,1
2423,2,1,3,1,5,1
2424,1,1,2,4,2,1
2425,1,1,2,4,2,2
2426,5,1,1,1,2,1
2427,7,1,1,4,5,2
2428,9,1,1,5,1,1
2429,2,1,2,4,2,1
2430,1,2,2,1,3,1
2431,2,1,1,2,1,2
2432,1,1,2,1,2,2
2433,3,1,3,1,2,1
2434,4,1,1,4,2,1
2435,2,1,1,4,2,1
2436,1,1,1,4,5,2
2437,2,1,1,2,2,1
2438,1,2,2,3,2,1
2439,1,1,1,5,2,2
2440,2,1,2,4,2,1
2441,8,1,1,1,1,2
2442,2,1,3,4,5,1
2443,1,1,1,2,5,1
2444,5,1,1,4,5,1
2445,9,2,1,1,2,2
2446,1,1,1,1,2,2
2447,1,1,2,1,2,2
2448,1,1,1,1,2,1
2449,2,1,2,1,2,1
2450,1,2,2,1,2,1
2451,4,1,1,1,2,2
2452,3,1,1,2,2,1
2453,5,1,1,4,2,1
2454,1,1,1,1,2,2
2455,1,1,2,2,2,1
2456,7,1,2,2,2,1
2457,3,1,1,4,2,1
2458,4,1,3,4,5,2
2459,2,1,2,2,5,2
2460,1,2,1,2,2,2
2461,9,1,1,2,2,1
2462,8,1,1,4,5,1
2463,2,1,2,2,2,2
2464,3,1,1,2,2,2
2465,4,1,2,3,2,2
2466,1,1,2,2,4,1
2467,3,1,1,4,2,1
2468,6,1,1,2,5,1
2469,2,1,1,1,5,2
2470,2,2,2,2,2,2
2471,4,2,1,4,2,2
2472,6,1,1,1,5,2
2473,6,1,1,2,2,1
2474,7,1,1,1,2,1
2475,1,1,2,4,5,2
2476,1,1,2,2,2,1
2477,1,1,1,3,2,2
2478,1,2,2,2,2,2
2479,5,1,1,4,5,1
2480,1,1,1,2,2,1
2481,2,1,3,4,5,2
2482,2,1,2,1,2,2
2483,1,1,1,2,5,2
2484,1,1,2,4,2,2
2485,1,1,1,1,2,2
2486,3,2,2,2,4,2
2487,1,2,1,2,4,1
2488,3,1,1,2,5,2
2489,2,2,1,1,2,1
2490,4,1,1,2,5,2
2491,8,1,3,1,2,1
2492,1,1,2,2,2,2
2493,8,1,1,1,5,1
2494,2,1,1,2,2,1
2495,3,1,1,1,5,2
2496,3,1,1,4,5,2
2497,1,1,1,1,2,2
2498,1,1,2,3,2,2
2499,1,1,1,4,2,1
2500,8,1,2,1,5,2
2501,7,1,1,5,2,2
2502,3,1,2,4,2,2
2503,1,1,1,1,1,1
2504,3,1,2,3,2,1
2505,2,1,3,1,2,1
2506,6,1,1,2,3,1
2507,1,1,2,1,2,1
2508,1,1,3,2,2,1
2509,2,1,2,1,3,2
2510,1,1,2,1,5,2
2511,3,1,1,4,2,1
2512,1,1,1,4,2,1
2513,1,2,1,4,4,2
2514,3,1,1,2,2,1
2515,1,2,1,1,4,2
2516,2,1,1,1,2,2
2517,1,1,3,4,2,1
2518,4,1,1,4,5,2
2519,1,1,3,2,2,1
2520,5,1,1,2,5,1
2521,8,2,1,5,2,2
2522,2,1,1,1,2,1
2523,1,1,1,1,3,1
2524,2,1,1,2,4,2
2525,1,1,1,2,2,1
2526,1,1,1,2,2,1
2527,2,1,2,4,2,2
2528,4,1,2,1,5,1
2529,8,1,1,4,2,2
2530,7,1,3,2,2,1
2531,3,1,2,1,2,2
2532,1,1,1,2,5,2
2533,7,1,2,4,5,2
2534,3,1,1,1,2,1
2535,1,1,2,3,2,2
2536,9,1,1,2,2,1
2537,9,1,3,2,5,2
2538,3,1,1,1,2,2
2539,9,2,1,2,2,1
2540,3,2,1,2,4,2
2541,2,1,1,2,2,1
2542,1,1,2,4,2,1
2543,3,1,1,1,5,2
2544,1,2,2,4,2,1
2545,1,1,1,5,2,1
2546,1,1,1,2,2,2
2547,7,1,1,1,2,1
2548,1,1,1,2,2,2
2549,1,1,1,4,2,2
2550,1,1,2,2,5,1
2551,1,1,2,2,5,1
2552,6,1,2,4,2,1
2553,1,1,1,1,1,2
2554,1,1,2,1,2,2
2555,3,1,1,2,2,2
2556,1,1,1,4,2,2
2557,1,2,1,5,2,2
2558,9,1,1,1,2,1
2559,9,1,1,5,5,1
2560,1,1,1,3,2,1
2561,4,1,1,4,2,1
2562,2,1,1,2,2,2
2563,2,1,1,4,2,1
2564,1,1,2,4,2,2
2565,3,1,1,1,2,1
2566,1,1,1,2,2,2
2567,2,1,1,1,2,2
2568,9,1,1,4,5,2
2569,8,1,2,2,1,2
2570,2,1,2,4,2,1
2571,1,1,3,5,2,1
2572,9,1,1,1,2,1
2573,1,1,1,2,5,1
2574,1,1,1,2,2,1
2575,1,1,1,2,2,2
2576,8,1,2,2,2,2
2577,8,1,1,1,2,1
2578,8,1,2,4,2,1
2579,8,1,1,1,2,1
2580,3,1,2,1,2,1
2581,3,1,1,2,5,2
2582,8,1,1,5,2,1
2583,1,1,1,1,5,2
2584,2,1,3,2,3,2
2585,2,2,1,1,2,2
2586,3,1,1,2,2,2
2587,1,1,1,1,2,1
2588,2,1,2,2,5,2
2589,1,1,1,4,1,1
2590,1,1,1,1,5,1
2591,9,1,1,5,5,2
2592,9,1,2,1,2,2
2593,1,2,2,1,2,1
2594,9,2,3,4,2,1
2595,1,1,3,2,3,1
2596,6,1,2,4,5,1
2597,7,2,1,4,5,1
2598,1,1,1,2,2,2
2599,2,1,1,4,5,1
2600,1,1,1,5,2,2
2601,2,1,1,2,2,2
2602,1,1,2,1,5,1
2603,2,1,2,1,2,2
2604,9,1,1,2,5,1
2605,1,1,3,1,3,1
2606,2,1,2,4,2,1
2607,1,1,1,4,5,2
2608,7,2,2,5,2,1
2609,1,1,2,4,5,1
2610,5,1,1,2,5,2
2611,3,2,1,2,2,2
2612,1,1,1,2,3,2
2613,1,1,1,4,5,2
2614,9,1,2,2,2,2
2615,3,1,3,2,2,2
2616,2,1,1,2,2,1
2617,6,1,3,4,2,1
2618,1,1,2,4,5,1
2619,2,1,1,1,2,2
2620,1,2,1,1,2,2
2621,9,2,1,1,2,2
2622,8,1,2,3,3,2
2623,1,1,1,1,2,2
2624,1,1,1,4,2,2
2625,1,1,2,5,5,2
2626,2,1,1,2,2,1
2627,1,2,2,2,3,2
2628,1,2,1,2,3,1
2629,1,1,1,1,2,2
2630,3,1,3,1,5,1
2631,7,1,1,2,5,1
2632,9,1,3,3,5,1
2633,2,1,1,2,2,1
2634,2,1,1,2,1,2
2635,1,2,1,1,1,2
2636,2,1,1,2,3,2
2637,2,2,1,1,1,1
2638,9,1,1,2,1,1
2639,4,1,2,1,5,2
2640,1,2,1,1,2,1
2641,4,1,1,1,2,1
2642,1,1,1,2,2,2
2643,3,1,2,4,5,1
2644,1,1,1,2,3,1
2645,2,1,1,1,2,2
2646,4,1,2,2,2,1
2647,7,1,2,1,2,1
2648,1,1,1,1,2,1
2649,3,1,1,1,2,1
2650,3,1,1,4,5,1
2651,1,1,2,4,1,2
2652,4,1,2,1,2,2
2653,2,1,1,2,2,1
2654,1,1,1,4,2,2
2655,9,1,3,1,2,1
2656,1,1,1,2,5,1
2657,5,1,1,2,2,1
2658,1,1,1,1,5,1
2659,3,2,1,4,2,1
2660,6,1,1,2,5,2
2661,3,1,1,3,2,2
2662,3,1,1,1,5,1
2663,3,1,3,4,2,2
2664,6,1,2,2,5,1
2665,2,1,2,4,2,2
2666,7,2,2,4,2,2
2667,1,1,1,4,5,1
2668,6,1,1,4,3,1
2669,1,2,1,2,2,1
2670,5,1,1,5,2,2
2671,1,2,1,2,2,2
2672,6,1,2,4,5,1
2673,5,1,1,5,2,2
2674,3,1,1,2,2,1
2675,1,1,2,1,2,1
2676,4,1,1,2,2,1
2677,8,1,3,3,2,1
2678,8,1,2,2,5,2
2679,8,1,2,4,2,2
2680,1,1,1,4,1,2
2681,1,1,1,4,5,1
2682,5,1,2,1,5,2
2683,3,1,1,2,2,2
2684,7,2,1,3,2,1
2685,1,1,1,2,5,2
2686,3,1,1,4,3,1
2687,1,1,1,5,2,1
2688,1,1,1,2,2,2
2689,1,1,1,2,2,1
2690,3,2,1,4,5,1
2691,7,1,2,2,2,2
2692,3,1,1,2,1,1
2693,3,1,2,1,5,1
2694,4,1,2,4,5,2
2695,1,1,1,4,2,1
2696,1,1,2,5,2,1
2697,3,1,1,3,2,2
2698,4,1,1,4,5,1
2699,3,1,2,1,2,1
2700,1,1,1,5,5,2
2701,3,1,2,2,2,2
2702,1,1,1,1,2,2
2703,2,1,1,1,5,2
2704,3,1,1,2,2,1
2705,2,1,1,1,2,1
2706,1,1,1,5,2,2
2707,6,1,1,2,2,1
2708,4,1,1,2,2,2
2709,4,1,1,1,2,2
2710,2,1,3,1,5,2
2711,3,1,2,2,5,2
2712,3,1,2,2,5,2
2713,1,1,1,1,1,2
2714,2,1,3,4,5,1
2715,4,1,1,4,2,1
2716,7,1,2,3,2,1
2717,3,1,1,1,2,2
2718,3,1,1,1,2,1
2719,1,1,1,2,5,2
2720,1,2,3,1,2,1
2721,2,1,1,4,2,2
2722,1,1,1,2,5,1
2723,2,1,2,2,5,2
2724,4,1,1,2,5,1
2725,5,1,1,4,2,2
2726,1,1,1,1,2,2
2727,3,1,1,3,2,2
2728,9,1,1,4,2,2
2729,5,1,1,2,2,2
2730,1,1,1,1,2,1
2731,1,1,1,2,2,1
2732,1,1,1,2,2,1
2733,1,1,1,2,2,2
2734,1,1,1,4,5,1
2735,1,1,1,4,2,2
2736,2,1,2,4,2,2
2737,1,1,2,1,3,2
2738,1,1,2,2,2,2
2739,2,1,1,2,5,1
2740,5,1,1,2,2,2
2741,3,1,1,4,2,1
2742,3,1,1,2,2,2
2743,1,1,2,2,3,2
2744,3,1,1,2,2,2
2745,7,1,1,4,5,2
2746,1,1,1,5,2,2
2747,2,1,1,4,2,2
2748,1,1,1,2,3,2
2749,1,1,1,1,2,2
2750,2,1,1,4,5,2
2751,1,1,1,2,2,1
2752,1,1,1,2,2,1
2753,5,1,2,5,2,1
2754,1,1,1,5,2,1
2755,1,1,2,2,2,2
2756,4,1,1,4,5,2
2757,2,1,1,1,5,1
2758,1,1,2,4,5,1
2759,9,1,2,2,2,2
2760,2,1,2,1,2,1
2761,1,1,1,5,2,2
2762,2,1,1,1,2,2
2763,1,1,1,3,2,1
2764,1,1,1,1,2,1
2765,2,2,1,1,4,2
2766,1,1,1,2,5,2
2767,1,1,2,5,2,2
2768,1,1,1,1,2,2
2769,3,1,1,2,2,1
2770,2,1,1,2,2,1
2771,2,1,1,1,5,2
2772,1,1,1,1,5,1
2773,3,1,2,2,2,1
2774,1,1,2,4,2,2
2775,2,1,1,1,5,2
2776,2,1,2,2,5,1
2777,1,1,1,2,2,2
2778,2,1,1,1,2,1
2779,1,1,3,2,2,1
2780,2,1,1,1,5,1
2781,2,1,1,2,5,1
2782,1,1,1,4,5,2
2783,3,1,1,2,5,2
2784,1,1,1,1,2,2
2785,2,1,1,4,2,1
2786,1,1,1,2,2,1
2787,2,1,3,1,2,2
2788,1,1,1,3,2,1
2789,2,1,1,4,2,1
2790,3,1,1,4,2,2
2791,1,2,1,1,1,2
2792,3,1,2,1,3,2
2793,2,1,3,2,5,1
2794,3,1,1,2,2,1
2795,9,1,1,2,5,1
2796,2,1,1,2,5,1
2797,1,1,1,1,2,2
2798,4,1,1,1,5,1
2799,1,1,1,1,2,1
2800,1,1,1,2,1,2
2801,8,1,2,3,2,1
2802,5,1,2,4,2,2
2803,2,1,2,2,4,2
2804,1,1,1,4,2,2
2805,2,2,2,2,2,2
2806,6,1,2,4,5,2
2807,1,1,1,2,2,1
2808,2,1,2,2,2,2
2809,1,1,2,2,2,1
2810,2,1,1,1,2,2
2811,9,1,1,2,2,2
2812,1,1,2,1,2,1
2813,1,1,2,5,5,1
2814,5,1,1,4,2,2
2815,1,1,1,1,1,2
2816,1,1,3,1,2,2
2817,2,1,1,4,5,2
2818,1,1,2,1,5,1
2819,2,1,1,2,2,2
2820,1,2,1,2,2,1
2821,3,1,1,1,3,2
2822,1,2,2,1,2,1
2823,8,1,1,1,2,1
2824,1,1,2,4,5,2
2825,4,1,3,2,2,1
2826,2,2,1,1,4,2
2827,3,1,2,4,5,1
2828,3,1,2,4,5,1
2829,1,1,1,4,2,1
2830,1,1,1,1,2,1
2831,3,1,2,5,2,1
2832,5,1,1,4,5,1
2833,1,1,1,1,2,2
2834,5,1,1,4,2,1
2835,2,1,1,2,2,2
2836,2,1,1,5,2,2
2837,2,1,1,5,5,1
2838,1,1,3,2,2,2
2839,1,1,1,1,5,2
2840,1,1,2,3,2,1
2841,1,1,1,4,2,2
2842,9,2,2,5,5,1
2843,9,1,2,5,2,2
2844,2,1,1,2,5,1
2845,2,1,1,3,2,2
2846,3,1,3,4,2,2
2847,9,1,1,4,2,1
2848,6,1,2,1,2,1
2849,9,1,1,2,1,1
2850,7,1,1,4,5,1
2851,4,1,2,2,2,1
2852,6,1,2,2,2,2
2853,2,1,2,2,2,2
2854,2,1,2,3,1,2
2855,1,2,1,5,2,1
